Date (UTC-7:00),Token,Type,Price (USD),Amount,Total value (USD),Fee,Fee Currency,Notes
"2025-01-13 00:35:00","ETH","buy","3,201.59","10,000.00","32,015,900.00","1,000.00","USD",""
"2025-01-13 00:35:00","ETH","buy","3,201.59","10,000.00","32,015,900.00","1,000.00","USD",""
"2025-01-13 00:35:00","ETH","buy","3,201.59","10,000.00","32,015,900.00","1,000.00","USD",""
"2025-01-13 00:35:00","WTRX","buy","0.2271","100,000.00","22,710.00","1,000.00","USD",""
"2025-01-09 22:45:00","TRX","transferIn","--","10,000.00","--","--","",""
"2025-01-09 22:45:00","TRX","buy","0.2413","10,000.00","2,413.00","1,000.00","USD",""
"2025-01-09 22:40:00","WTRX","buy","0.241","10,000.00","2,410.00","1,000.00","USD",""
"2025-01-09 22:40:00","BCH","buy","427.71","10,000.00","4,277,100.00","100.00","USD",""
"2025-01-09 22:40:00","BCH","buy","427.71","1,000.00","427,710.00","100.00","USD",""
"2025-01-09 22:40:00","BTCB","buy","93,729.69","100.00","9,372,969.00","10.00","USD",""
"2025-01-09 22:35:00","BNB","buy","689.21","100,000.00","68,921,000.00","10,000.00","USD",""
"2025-01-09 22:35:00","ETH","buy","3,256.51","100,000.00","325,651,000.00","10,000.00","USD",""
"2025-01-09 22:35:00","BTC","buy","93,810.01","100,000.00","9,381,001,000.00","10,000.00","USD",""
"2025-01-08 20:05:00","ETH","buy","3,339.85","10,000.00","33,398,500.00","100.00","USD",""
"2025-01-08 20:05:00","ETH","buy","3,339.85","10,000.00","33,398,500.00","100.00","USD",""
"2025-01-08 00:25:00","SHIB","transferIn","--","100.00","--","--","",""
"2025-01-08 00:25:00","TON","buy","5.1430","1,000.00","5,143.00","100.00","USD",""
"2025-01-08 00:25:00","BCH","buy","429.39","10,000.00","4,293,881.36","143.32","CAD",""
"2025-01-08 00:10:00","USDC","buy","0.9999","10,000.00","9,999.00","--","",""
"2025-01-08 00:10:00","USDT","transferIn","--","1,000.00","--","--","",""
"2025-01-08 00:10:00","ETH","buy","3,327.83","10,000.00","33,278,300.00","--","",""
"2025-01-08 00:10:00","BNB","transferIn","--","10,000.00","--","--","",""
"2025-01-08 00:10:00","BNB","transferIn","--","100,000.00","--","--","",""
"2025-01-05 16:15:00","USDT","transferIn","--","10,000.00","--","100.00","USD",""
"2025-01-05 16:15:00","VIRTUAL","transferIn","--","1,000.00","--","--","",""
"2025-01-05 15:55:00","ETH","transferIn","--","100,000.00","--","--","",""
"2024-12-29 17:50:00","CRO","buy","0.1444","1,000.00","144.40","--","",""
"2024-12-29 17:50:00","LINK","transferIn","--","100.00","--","--","",""
"2024-12-29 17:45:00","USDT","transferIn","--","10,000.00","--","--","",""
"2024-12-29 17:45:00","BNB","transferIn","--","1,000.00","--","--","",""
"2024-12-29 17:45:00","USDT","transferIn","--","10,000.00","--","--","",""
"2024-12-29 17:45:00","USDC","transferIn","--","1,000.00","--","--","",""
"2024-12-29 17:45:00","USDC","transferIn","--","10,000.00","--","--","",""
"2024-12-29 17:45:00","USDT","transferIn","--","10,000.00","--","--","",""
"2024-12-29 17:45:00","BTC","transferIn","--","10,000.00","--","--","",""
"2024-12-29 17:45:00","BTCB","transferIn","--","1,000.00","--","--","",""
"2024-12-28 00:00:00","BNB","transferIn","--","1,000.00","--","--","",""
"2024-12-28 00:00:00","SHIB","transferIn","--","1,000.00","--","--","",""
"2024-12-27 23:55:00","TON","transferIn","--","1,000.00","--","--","",""
"2024-12-27 23:50:00","BTCB","transferIn","--","100.00","--","--","",""
"2024-12-27 23:50:00","BNB","transferIn","--","100,000.00","--","--","",""
"2024-12-27 23:45:00","BTC","buy","94,353.75","10,000.00","943,537,500.00","--","",""
"2024-12-27 23:45:00","BTC","buy","94,353.75","10,000.00","943,537,500.00","--","",""
"2024-12-27 23:45:00","BNB","buy","694.14","10,000.00","6,941,400.00","--","",""
"2024-12-27 23:40:00","SHIB","buy","0.00002171","1,000.00","0.02171","--","",""
"2024-12-27 23:40:00","BTCB","buy","94,429.81","1,000.00","94,429,810.00","--","",""
"2024-12-27 23:40:00","DOGE","buy","0.3156","1,000.00","315.60","--","",""
"2024-12-27 23:40:00","USDC","buy","0.9999","100.00","99.99","--","",""
"2024-12-27 23:40:00","USDT","buy","0.9984","1,000.00","998.40","--","",""
"2024-12-27 23:40:00","ETH","buy","3,329.81","1,000,000.00","3,329,810,000.00","--","",""
"2024-12-20 00:55:00","ETH","transferIn","--","10,000,000.00","--","--","",""
"2024-12-20 00:55:00","ETH","transferIn","--","1,000.00","--","--","",""
"2024-12-19 19:50:00","USDC","transferIn","--","10,000.00","--","--","",""
"2024-12-19 19:50:00","DOGE","transferIn","--","10,000.00","--","--","",""
"2024-12-19 19:50:00","DOGE","transferIn","--","1,000,000.00","--","--","",""
"2024-12-19 19:50:00","DOGE","transferIn","--","10,000.00","--","--","",""
"2024-12-19 19:50:00","DOGE","transferIn","--","100,000.00","--","--","",""
"2024-12-19 19:45:00","USDT","transferIn","--","1,000,000.00","--","--","",""
"2024-12-19 19:45:00","TON","transferIn","--","1,000,000.00","--","--","",""
"2024-12-18 08:35:00","TON","buy","5.7116","100,000.00","571,160.00","--","",""
"2024-12-12 13:40:00","DOGE","buy","0.4081","1,000.00","408.10","--","",""
"2024-12-10 14:50:00","TON","buy","5.8978","1,000.00","5,897.80","15.00","USD",""
"2024-12-10 14:45:00","TON","buy","5.8978","1,000.00","5,897.80","--","",""
"2024-11-17 19:35:00","USDC","transferIn","--","100,000.00","--","--","",""
"2024-11-13 01:05:00","AVAX","buy","32.14","100,000.00","3,214,000.00","--","",""
"2024-09-19 04:35:00","BNB","buy","556.72","100,000.00","55,672,000.00","--","",""
"2024-09-07 00:40:00","BNB","transferIn","--","10,000,000.00","--","--","",""
"2024-07-21 15:15:00","USDT","buy","1.0006","10,000,000.00","10,006,000.00","--","",""
"2024-06-08 04:20:00","ETH","transferIn","--","100,000.00","--","0.","CAD",""
"2024-04-07 16:50:00","BTC","transferIn","--","100,000.00","--","0.","CAD","duchuynh22011989@gmail.com "
"2024-03-03 00:10:00","USDT","buy","1.0005","1,000.00","1,000.50","--","",""
